	AT	Balt	BE	DE	DK	Es	Fr	NL	No	Se	Uk
t1147	0.07	0.08	0.09	0.12	0.11	0.12	0.12	0.13	0.12	0.08	0.06
t1148	0.05	0.04	0.06	0.08	0.08	0.07	0.08	0.09	0.10	0.09	0.08
t1149	0.07	0.05	0.04	0.04	0.05	0.06	0.06	0.07	0.07	0.08	0.08
t1150	0.08	0.06	0.06	0.06	0.06	0.06	0.04	0.03	0.02	0.01	0.01
t1151	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.00	0.00	0.01
t1152	0.01	0.01	0.01	0.01	0.02	0.03	0.07	0.11	0.15	0.20	0.27
t1153	0.29	0.37	0.38	0.37	0.35	0.30	0.23	0.20	0.17	0.14	0.14
t1154	0.19	0.22	0.19	0.14	0.10	0.06	0.04	0.03	0.03	0.03	0.03
t1155	0.02	0.02	0.01	0.02	0.03	0.03	0.03	0.03	0.03	0.04	0.06
t1156	0.06	0.05	0.05	0.07	0.26	0.44	0.41	0.36	0.25	0.14	0.12
t1157	0.12	0.16	0.18	0.17	0.15	0.12	0.08	0.07	0.05	0.03	0.03
t1158	0.03	0.03	0.05	0.09	0.12	0.15	0.19	0.18	0.16	0.12	0.10
t1159	0.10	0.12	0.14	0.14	0.11	0.10	0.09	0.09	0.08	0.07	0.05
t1160	0.03	0.02	0.02	0.03	0.04	0.05	0.06	0.06	0.07	0.07	0.07
t1161	0.06	0.05	0.04	0.04	0.03	0.03	0.02	0.02	0.02	0.02	0.02
t1162	0.01	0.01	0.01	0.01	0.00	0.01	0.00	0.01	0.01	0.01	0.01
t1163	0.01	0.02	0.03	0.05	0.10	0.16	0.21	0.26	0.29	0.34	0.35
t1164	0.35	0.35	0.36	0.35	0.35	0.26	0.27	0.33	0.40	0.52	0.56
t1165	0.56	0.52	0.45	0.35	0.36	0.40	0.46	0.52	0.57	0.59	0.61
t1166	0.64	0.63	0.63	0.63	0.62	0.61	0.53	0.53	0.49	0.46	0.46
t1167	0.56	0.57	0.57	0.58	0.55	0.52	0.43	0.38	0.43	0.47	0.43
t1168	0.23	0.18	0.22	0.34	0.40	0.43	0.39	0.33	0.29	0.29	0.34
t1169	0.33	0.32	0.30	0.29	0.22	0.22	0.22	0.17	0.16	0.17	0.18
t1170	0.19	0.31	0.35	0.39	0.47	0.43	0.38	0.36	0.36	0.37	0.43
t1171	0.48	0.45	0.42	0.44	0.58	0.60	0.62	0.62	0.54	0.40	0.24
t1172	0.13	0.10	0.15	0.22	0.29	0.40	0.39	0.36	0.34	0.31	0.29
t1173	0.25	0.16	0.10	0.08	0.06	0.06	0.04	0.03	0.03	0.03	0.03
t1174	0.03	0.04	0.04	0.04	0.05	0.06	0.06	0.06	0.07	0.08	0.09
t1175	0.10	0.14	0.19	0.20	0.20	0.21	0.26	0.31	0.25	0.26	0.29
t1176	0.38	0.38	0.33	0.25	0.20	0.19	0.23	0.26	0.27	0.24	0.28
t1177	0.30	0.29	0.29	0.27	0.25	0.20	0.14	0.14	0.13	0.15	0.21
t1178	0.26	0.27	0.26	0.24	0.19	0.13	0.10	0.09	0.08	0.08	0.07
t1179	0.09	0.09	0.05	0.05	0.06	0.07	0.09	0.13	0.14	0.12	0.15
t1180	0.21	0.22	0.24	0.27	0.34	0.38	0.42	0.39	0.30	0.26	0.21
t1181	0.16	0.12	0.09	0.08	0.08	0.08	0.09	0.07	0.04	0.02	0.01
t1182	0.01	0.01	0.02	0.03	0.05	0.07	0.10	0.12	0.11	0.11	0.09
t1183	0.09	0.09	0.12	0.14	0.19	0.18	0.21	0.22	0.22	0.21	0.20
t1184	0.19	0.19	0.17	0.15	0.15	0.16	0.15	0.15	0.16	0.15	0.14
t1185	0.15	0.13	0.11	0.11	0.10	0.10	0.10	0.09	0.09	0.10	0.10
t1186	0.09	0.08	0.08	0.08	0.06	0.05	0.05	0.04	0.06	0.07	0.07
t1187	0.07	0.06	0.07	0.07	0.09	0.13	0.17	0.21	0.27	0.24	0.22
t1188	0.17	0.15	0.13	0.13	0.12	0.09	0.10	0.11	0.12	0.10	0.09
t1189	0.09	0.10	0.10	0.09	0.07	0.05	0.03	0.02	0.03	0.03	0.04
t1190	0.03	0.02	0.02	0.02	0.02	0.02	0.01	0.01	0.01	0.01	0.00
t1191	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.02	0.03	0.05	0.06
t1192	0.05	0.03	0.03	0.04	0.04	0.05	0.04	0.04	0.03	0.03	0.04
t1193	0.04	0.03	0.02	0.04	0.04	0.05	0.05	0.04	0.03	0.02	0.03
t1194	0.04	0.04	0.04	0.03	0.02	0.02	0.02	0.02	0.01	0.01	0.01
t1195	0.01	0.01	0.01	0.02	0.03	0.04	0.05	0.05	0.04	0.04	0.03
t1196	0.02	0.02	0.02	0.03	0.03	0.03	0.03	0.04	0.04	0.05	0.07
t1197	0.10	0.12	0.16	0.18	0.21	0.24	0.26	0.26	0.24	0.25	0.26
t1198	0.29	0.35	0.39	0.43	0.46	0.49	0.47	0.34	0.34	0.34	0.43
t1199	0.50	0.50	0.48	0.47	0.49	0.46	0.44	0.44	0.47	0.42	0.43
t1200	0.46	0.44	0.40	0.36	0.26	0.22	0.21	0.21	0.23	0.28	0.34
t1201	0.34	0.34	0.30	0.22	0.15	0.10	0.10	0.11	0.13	0.16	0.17
t1202	0.19	0.21	0.25	0.27	0.25	0.22	0.20	0.16	0.13	0.13	0.14
t1203	0.17	0.20	0.24	0.26	0.25	0.20	0.14	0.09	0.11	0.12	0.12
t1204	0.12	0.11	0.13	0.13	0.13	0.11	0.08	0.05	0.04	0.07	0.16
t1205	0.24	0.30	0.40	0.39	0.38	0.39	0.38	0.38	0.37	0.35	0.27
t1206	0.36	0.30	0.30	0.34	0.36	0.32	0.31	0.34	0.41	0.42	0.43
t1207	0.44	0.43	0.43	0.42	0.40	0.34	0.33	0.31	0.29	0.35	0.39
t1208	0.42	0.48	0.49	0.54	0.56	0.52	0.52	0.45	0.41	0.40	0.40
t1209	0.40	0.37	0.37	0.34	0.33	0.31	0.35	0.31	0.25	0.20	0.15
t1210	0.12	0.12	0.17	0.13	0.11	0.13	0.19	0.16	0.19	0.14	0.11
t1211	0.08	0.06	0.05	0.04	0.04	0.04	0.05	0.07	0.09	0.11	0.11
t1212	0.11	0.10	0.11	0.12	0.13	0.17	0.21	0.30	0.32	0.34	0.41
t1213	0.52	0.59	0.56	0.52	0.51	0.48	0.40	0.29	0.24	0.24	0.21
t1214	0.20	0.21	0.20	0.20	0.23	0.18	0.19	0.19	0.19	0.19	0.19
t1215	0.19	0.20	0.20	0.19	0.17	0.15	0.12	0.09	0.06	0.05	0.04
t1216	0.04	0.08	0.08	0.08	0.08	0.08	0.08	0.07	0.07	0.05	0.05
t1217	0.06	0.08	0.10	0.09	0.09	0.09	0.07	0.05	0.04	0.04	0.05
t1218	0.04	0.05	0.05	0.06	0.05	0.05	0.05	0.04	0.03	0.02	0.01
t1219	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.03	0.05
t1220	0.09	0.12	0.17	0.21	0.22	0.21	0.17	0.16	0.14	0.14	0.14
t1221	0.12	0.09	0.06	0.05	0.06	0.08	0.11	0.12	0.10	0.09	0.08
t1222	0.08	0.08	0.09	0.16	0.26	0.30	0.31	0.31	0.32	0.28	0.24
t1223	0.22	0.24	0.24	0.22	0.12	0.11	0.11	0.13	0.14	0.14	0.12
t1224	0.11	0.09	0.07	0.08	0.12	0.20	0.24	0.29	0.31	0.27	0.23
t1225	0.19	0.15	0.14	0.14	0.12	0.10	0.07	0.05	0.05	0.06	0.07
t1226	0.08	0.07	0.06	0.05	0.05	0.04	0.05	0.07	0.10	0.11	0.11
t1227	0.07	0.06	0.06	0.06	0.07	0.05	0.04	0.02	0.01	0.01	0.01
t1228	0.01	0.01	0.01	0.02	0.03	0.02	0.02	0.02	0.02	0.03	0.05
t1229	0.05	0.04	0.04	0.03	0.02	0.01	0.01	0.01	0.01	0.01	0.00
t1230	0.00	0.00	0.00	0.00	0.00	0.01	0.01	0.01	0.01	0.01	0.02
t1231	0.02	0.02	0.01	0.01	0.02	0.02	0.01	0.02	0.02	0.02	0.02
t1232	0.02	0.02	0.01	0.02	0.02	0.02	0.02	0.01	0.02	0.02	0.04
t1233	0.03	0.05	0.05	0.07	0.08	0.07	0.08	0.10	0.10	0.11	0.12
t1234	0.14	0.13	0.11	0.09	0.09	0.10	0.11	0.20	0.19	0.19	0.25
t1235	0.21	0.17	0.21	0.23	0.23	0.25	0.25	0.28	0.28	0.28	0.26
t1236	0.24	0.23	0.22	0.19	0.18	0.16	0.11	0.09	0.12	0.19	0.22
t1237	0.32	0.42	0.46	0.48	0.46	0.42	0.33	0.30	0.27	0.26	0.30
t1238	0.31	0.30	0.29	0.30	0.30	0.29	0.30	0.35	0.41	0.47	0.49
t1239	0.43	0.42	0.40	0.35	0.37	0.38	0.35	0.26	0.20	0.17	0.18
t1240	0.19	0.29	0.28	0.24	0.22	0.19	0.15	0.12	0.10	0.10	0.10
t1241	0.11	0.13	0.13	0.11	0.10	0.08	0.06	0.06	0.05	0.04	0.04
t1242	0.04	0.04	0.04	0.05	0.06	0.07	0.07	0.07	0.06	0.05	0.04
t1243	0.04	0.03	0.03	0.04	0.05	0.05	0.05	0.05	0.04	0.04	0.04
t1244	0.04	0.04	0.05	0.05	0.05	0.03	0.04	0.27	0.27	0.28	0.29
t1245	0.28	0.24	0.17	0.16	0.17	0.18	0.17	0.14	0.10	0.08	0.05
t1246	0.04	0.04	0.04	0.06	0.10	0.14	0.15	0.10	0.10	0.10	0.08
t1247	0.05	0.04	0.04	0.04	0.02	0.02	0.02	0.02	0.02	0.02	0.01
t1248	0.01	0.02	0.02	0.02	0.02	0.02	0.02	0.04	0.03	0.03	0.03
t1249	0.03	0.04	0.05	0.05	0.04	0.02	0.01	0.01	0.01	0.01	0.01
t1250	0.01	0.01	0.01	0.02	0.01	0.01	0.01	0.02	0.03	0.04	0.06
t1251	0.05	0.06	0.07	0.07	0.04	0.03	0.02	0.02	0.02	0.01	0.01
t1252	0.01	0.01	0.01	0.01	0.02	0.03	0.04	0.04	0.04	0.03	0.01
t1253	0.01	0.01	0.01	0.02	0.03	0.03	0.03	0.02	0.02	0.01	0.00
t1254	0.00	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.03
t1255	0.06	0.11	0.17	0.19	0.17	0.21	0.23	0.26	0.25	0.21	0.18
t1256	0.13	0.08	0.08	0.07	0.07	0.11	0.09	0.07	0.06	0.07	0.07
t1257	0.05	0.06	0.06	0.05	0.03	0.05	0.10	0.14	0.14	0.11	0.07
t1258	0.05	0.05	0.05	0.04	0.03	0.03	0.03	0.04	0.03	0.02	0.02
t1259	0.02	0.02	0.03	0.02	0.02	0.02	0.01	0.01	0.02	0.02	0.02
t1260	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.03
t1261	0.03	0.04	0.03	0.02	0.02	0.02	0.02	0.03	0.06	0.10	0.13
t1262	0.14	0.14	0.12	0.11	0.14	0.13	0.09	0.05	0.05	0.04	0.04
t1263	0.04	0.05	0.05	0.05	0.06	0.07	0.06	0.09	0.15	0.25	0.36
t1264	0.47	0.39	0.33	0.31	0.35	0.20	0.28	0.46	0.51	0.53	0.66
t1265	0.76	0.81	0.85	0.87	0.87	0.87	0.88	0.87	0.85	0.80	0.74
t1266	0.74	0.68	0.56	0.49	0.39	0.29	0.25	0.18	0.14	0.12	0.11
t1267	0.08	0.08	0.10	0.17	0.32	0.38	0.46	0.46	0.43	0.40	0.36
t1268	0.30	0.27	0.30	0.33	0.38	0.48	0.55	0.62	0.57	0.57	0.56
t1269	0.52	0.47	0.43	0.34	0.38	0.44	0.46	0.45	0.41	0.38	0.34
t1270	0.29	0.23	0.18	0.15	0.15	0.14	0.12	0.11	0.09	0.07	0.06
t1271	0.05	0.04	0.05	0.04	0.05	0.04	0.05	0.04	0.05	0.05	0.05
t1272	0.06	0.05	0.05	0.06	0.08	0.14	0.19	0.24	0.27	0.26	0.23
t1273	0.23	0.19	0.15	0.15	0.16	0.13	0.10	0.14	0.15	0.14	0.09
t1274	0.11	0.13	0.19	0.21	0.28	0.33	0.34	0.32	0.28	0.31	0.34
t1275	0.40	0.39	0.30	0.26	0.22	0.20	0.17	0.17	0.20	0.24	0.27
t1276	0.29	0.33	0.34	0.34	0.31	0.23	0.15	0.08	0.05	0.05	0.06
t1277	0.07	0.07	0.09	0.10	0.11	0.11	0.10	0.10	0.10	0.11	0.07
t1278	0.09	0.10	0.13	0.19	0.25	0.29	0.26	0.21	0.15	0.11	0.09
t1279	0.09	0.10	0.12	0.13	0.17	0.15	0.15	0.19	0.26	0.31	0.37
t1280	0.45	0.45	0.47	0.53	0.56	0.68	0.63	0.66	0.72	0.72	0.72
t1281	0.70	0.69	0.69	0.69	0.65	0.63	0.76	0.73	0.68	0.68	0.58
t1282	0.49	0.40	0.29	0.25	0.21	0.20	0.23	0.29	0.32	0.39	0.47
t1283	0.49	0.45	0.40	0.36	0.31	0.30	0.28	0.25	0.19	0.15	0.17
t1284	0.19	0.15	0.12	0.11	0.09	0.08	0.11	0.14	0.14	0.10	0.11
t1285	0.14	0.15	0.14	0.10	0.07	0.05	0.04	0.04	0.04	0.04	0.05
t1286	0.06	0.06	0.06	0.07	0.07	0.07	0.07	0.06	0.07	0.11	0.16
t1287	0.16	0.12	0.09	0.06	0.04	0.04	0.03	0.02	0.03	0.03	0.02
t1288	0.02	0.02	0.01	0.01	0.01	0.01	0.00	0.01	0.00	0.00	0.00
t1289	0.01	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.01
t1290	0.01	0.01	0.01	0.01	0.02	0.03	0.04	0.04	0.06	0.06	0.06
t1291	0.04	0.03	0.03	0.03	0.05	0.05	0.06	0.06	0.05	0.03	0.02
t1292	0.02	0.02	0.02	0.04	0.05	0.10	0.12	0.12	0.10	0.09	0.08
t1293	0.07	0.05	0.04	0.02	0.02	0.01	0.01	0.01	0.01	0.02	0.03
t1294	0.03	0.04	0.05	0.08	0.12	0.17	0.20	0.23	0.24	0.24	0.23
t1295	0.22	0.20	0.20	0.21	0.25	0.22	0.19	0.17	0.15	0.17	0.19
t1296	0.20	0.25	0.30	0.36	0.36	0.35	0.33	0.29	0.28	0.27	0.25
t1297	0.21	0.18	0.17	0.15	0.15	0.14	0.13	0.16	0.28	0.29	0.24
t1298	0.23	0.21	0.22	0.22	0.24	0.20	0.16	0.14	0.14	0.15	0.14
t1299	0.10	0.09	0.08	0.07	0.06	0.06	0.05	0.05	0.03	0.03	0.05
t1300	0.05	0.04	0.03	0.03	0.02	0.03	0.03	0.04	0.05	0.06	0.05
t1301	0.05	0.03	0.02	0.02	0.02	0.02	0.02	0.03	0.03	0.03	0.02
t1302	0.02	0.02	0.03	0.03	0.04	0.04	0.03	0.03	0.03	0.03	0.03
t1303	0.03	0.04	0.04	0.03	0.03	0.03	0.03	0.03	0.04	0.05	0.06
t1304	0.06	0.04	0.03	0.03	0.02	0.03	0.03	0.03	0.03	0.03	0.03
t1305	0.03	0.04	0.06	0.12	0.17	0.21	0.24	0.28	0.31	0.34	0.35
t1306	0.33	0.37	0.40	0.39	0.39	0.38	0.37	0.40	0.36	0.34	0.25
t1307	0.17	0.11	0.08	0.06	0.04	0.04	0.03	0.02	0.01	0.01	0.01
t1308	0.01	0.01	0.02	0.02	0.02	0.02	0.03	0.04	0.07	0.08	0.12
t1309	0.16	0.19	0.31	0.45	0.45	0.39	0.35	0.34	0.33	0.34	0.37
t1310	0.38	0.07	0.08	0.09	0.10	0.11	0.12	0.10	0.12	0.15	0.17
t1311	0.24	0.22	0.20	0.16	0.13	0.10	0.08	0.08	0.08	0.08	0.08
t1312	0.08	0.07	0.06	0.05	0.05	0.04	0.03	0.03	0.02	0.01	0.01
t1313	0.00	0.01	0.00	0.00	0.00	0.01	0.01	0.01	0.01	0.02	0.03
t1314	0.03	0.04	0.05	0.06	0.07	0.07	0.07	0.06	0.06	0.06	0.05
t1315	0.03	0.02	0.02	0.01	0.02	0.02	0.03	0.03	0.03	0.04	0.05
t1316	0.07	0.11	0.15	0.18	0.20	0.22	0.21	0.20	0.20	0.19	0.19
t1317	0.20	0.18	0.14	0.11	0.11	0.12	0.13	0.14	0.13	0.14	0.13
t1318	0.12	0.12	0.14	0.16	0.18	0.20	0.20	0.17	0.17	0.17	0.15
t1319	0.13	0.12	0.11	0.10	0.08	0.06	0.05	0.05	0.05	0.05	0.05
t1320	0.05	0.04	0.03	0.03	0.04	0.05	0.05	0.05	0.06	0.06	0.06
t1321	0.05	0.04	0.05	0.08	0.09	0.12	0.17	0.26	0.29	0.29	0.25
t1322	0.18	0.13	0.13	0.15	0.17	0.17	0.14	0.11	0.09	0.09	0.08
t1323	0.08	0.07	0.08	0.08	0.09	0.11	0.16	0.19	0.26	0.32	0.36
t1324	0.40	0.40	0.35	0.28	0.25	0.25	0.28	0.30	0.27	0.23	0.20
t1325	0.18	0.15	0.12	0.11	0.11	0.12	0.12	0.11	0.09	0.08	0.07
t1326	0.06	0.05	0.04	0.03	0.03	0.03	0.02	0.02	0.02	0.02	0.02
t1327	0.02	0.02	0.02	0.02	0.03	0.03	0.02	0.02	0.02	0.02	0.02
t1328	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
t1329	0.02	0.02	0.02	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.01
t1330	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.02	0.03	0.03
t1331	0.03	0.03	0.03	0.03	0.03	0.04	0.03	0.03	0.05	0.06	0.06
t1332	0.07	0.07	0.07	0.07	0.07	0.08	0.10	0.14	0.16	0.14	0.15
t1333	0.18	0.21	0.21	0.22	0.28	0.36	0.43	0.47	0.53	0.57	0.58
t1334	0.66	0.71	0.75	0.78	0.82	0.84	0.85	0.84	0.87	0.89	0.88
t1335	0.84	0.84	0.84	0.81	0.79	0.74	0.71	0.69	0.69	0.68	0.68
t1336	0.68	0.68	0.70	0.71	0.71	0.72	0.74	0.76	0.76	0.71	0.72
t1337	0.70	0.65	0.67	0.64	0.61	0.61	0.64	0.63	0.57	0.57	0.54
t1338	0.50	0.45	0.41	0.37	0.40	0.45	0.50	0.53	0.54	0.55	0.55
t1339	0.50	0.49	0.47	0.42	0.38	0.36	0.35	0.32	0.32	0.34	0.32
t1340	0.25	0.22	0.22	0.21	0.18	0.15	0.11	0.08	0.06	0.06	0.05
t1341	0.07	0.09	0.10	0.11	0.12	0.13	0.16	0.19	0.21	0.18	0.18
t1342	0.14	0.11	0.12	0.13	0.14	0.15	0.16	0.21	0.27	0.33	0.37
t1343	0.39	0.39	0.40	0.42	0.46	0.48	0.45	0.44	0.42	0.39	0.38
t1344	0.37	0.34	0.34	0.35	0.36	0.40	0.45	0.50	0.54	0.57	0.57
t1345	0.53	0.47	0.38	0.32	0.26	0.23	0.21	0.20	0.16	0.17	0.17
t1346	0.18	0.18	0.16	0.13	0.11	0.14	0.15	0.18	0.21	0.25	0.27
t1347	0.31	0.28	0.21	0.19	0.18	0.15	0.14	0.12	0.13	0.12	0.11
t1348	0.10	0.08	0.07	0.07	0.06	0.08	0.08	0.07	0.06	0.06	0.07
t1349	0.07	0.07	0.06	0.08	0.08	0.08	0.07	0.09	0.09	0.09	0.08
t1350	0.08	0.09	0.11	0.16	0.25	0.38	0.46	0.54	0.49	0.46	0.52
t1351	0.58	0.62	0.63	0.64	0.67	0.65	0.59	0.55	0.55	0.56	0.58
t1352	0.58	0.55	0.43	0.45	0.51	0.43	0.33	0.29	0.25	0.22	0.17
t1353	0.17	0.19	0.19	0.24	0.29	0.30	0.31	0.40	0.47	0.52	0.58
t1354	0.64	0.67	0.68	0.68	0.68	0.73	0.79	0.79	0.77	0.75	0.73
t1355	0.70	0.69	0.69	0.70	0.69	0.67	0.60	0.47	0.31	0.22	0.17
t1356	0.14	0.12	0.12	0.11	0.10	0.09	0.10	0.13	0.13	0.13	0.18
t1357	0.24	0.21	0.15	0.11	0.08	0.06	0.05	0.05	0.05	0.05	0.07
t1358	0.08	0.08	0.11	0.16	0.20	0.23	0.27	0.32	0.34	0.30	0.29
t1359	0.27	0.26	0.23	0.19	0.17	0.15	0.15	0.17	0.21	0.26	0.29
t1360	0.32	0.31	0.32	0.34	0.35	0.37	0.38	0.39	0.39	0.41	0.46
t1361	0.45	0.43	0.39	0.37	0.32	0.22	0.17	0.16	0.17	0.20	0.22
t1362	0.23	0.27	0.31	0.30	0.33	0.37	0.39	0.38	0.37	0.37	0.37
t1363	0.36	0.33	0.29	0.28	0.21	0.19	0.15	0.12	0.10	0.09	0.08
t1364	0.09	0.09	0.08	0.08	0.07	0.07	0.07	0.06	0.06	0.05	0.05
t1365	0.06	0.06	0.04	0.03	0.03	0.03	0.03	0.04	0.05	0.06	0.05
t1366	0.06	0.06	0.06	0.06	0.07	0.07	0.07	0.07	0.07	0.08	0.09
t1367	0.12	0.15	0.19	0.23	0.28	0.39	0.35	0.31	0.35	0.35	0.37
t1368	0.41	0.43	0.40	0.34	0.33	0.32	0.31	0.30	0.29	0.25	0.22
t1369	0.20	0.18	0.16	0.16	0.16	0.14	0.11	0.11	0.12	0.10	0.08
t1370	0.07	0.06	0.06	0.06	0.06	0.05	0.05	0.05	0.04	0.03	0.02
t1371	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.01	0.01
t1372	0.01	0.02	0.02	0.03	0.03	0.02	0.02	0.02	0.02	0.02	0.03
t1373	0.03	0.04	0.05	0.05	0.06	0.06	0.07	0.07	0.08	0.08	0.09
t1374	0.09	0.10	0.13	0.12	0.12	0.14	0.13	0.12	0.13	0.14	0.14
t1375	0.17	0.19	0.21	0.20	0.22	0.20	0.82	0.88	0.90	0.90	0.90
t1376	0.90	0.91	0.90	0.89	0.90	0.90	0.92	0.92	0.92	0.92	0.92
t1377	0.93	0.92	0.91	0.89	0.87	0.83	0.81	0.82	0.78	0.72	0.67
t1378	0.63	0.57	0.50	0.46	0.48	0.45	0.35	0.26	0.17	0.12	0.09
t1379	0.07	0.05	0.04	0.04	0.03	0.02	0.02	0.01	0.02	0.02	0.03
t1380	0.04	0.07	0.09	0.13	0.14	0.12	0.12	0.10	0.14	0.17	0.19
t1381	0.23	0.24	0.25	0.32	0.48	0.60	0.66	0.68	0.70	0.71	0.73
t1382	0.74	0.73	0.72	0.72	0.74	0.76	0.79	0.80	0.82	0.77	0.76
t1383	0.73	0.73	0.72	0.67	0.76	0.75	0.72	0.65	0.50	0.32	0.21
t1384	0.15	0.14	0.11	0.10	0.08	0.06	0.06	0.06	0.05	0.04	0.03
t1385	0.03	0.02	0.01	0.02	0.03	0.03	0.02	0.02	0.02	0.03	0.04
t1386	0.04	0.04	0.04	0.04	0.03	0.03	0.03	0.02	0.02	0.02	0.03
t1387	0.04	0.04	0.04	0.04	0.04	0.04	0.03	0.04	0.05	0.08	0.14
t1388	0.20	0.23	0.26	0.28	0.30	0.30	0.33	0.35	0.35	0.32	0.28
t1389	0.25	0.21	0.21	0.19	0.19	0.18	0.18	0.18	0.17	0.18	0.18
t1390	0.16	0.18	0.20	0.21	0.21	0.21	0.21	0.30	0.24	0.18	0.15
t1391	0.15	0.15	0.17	0.17	0.15	0.12	0.11	0.09	0.07	0.06	0.07
t1392	0.07	0.05	0.04	0.04	0.05	0.06	0.08	0.11	0.15	0.16	0.18
t1393	0.22	0.27	0.30	0.32	0.38	0.45	0.53	0.58	0.68	0.75	0.79
t1394	0.77	0.84	0.83	0.88	0.88	0.88	0.87	0.87	0.86	0.86	0.85
t1395	0.80	0.81	0.80	0.75	0.74	0.68	0.65	0.65	0.57	0.49	0.48
t1396	0.57	0.51	0.56	0.48	0.42	0.42	0.31	0.24	0.19	0.14	0.11
t1397	0.10	0.11	0.17	0.19	0.24	0.34	0.39	0.39	0.36	0.37	0.37
t1398	0.32	0.34	0.31	0.26	0.27	0.27	0.37	0.42	0.41	0.40	0.36
t1399	0.33	0.29	0.27	0.24	0.25	0.18	0.14	0.11	0.10	0.09	0.08
t1400	0.08	0.08	0.09	0.08	0.09	0.12	0.10	0.08	0.09	0.12	0.15
t1401	0.19	0.18	0.17	0.14	0.13	0.10	0.11	0.09	0.07	0.07	0.06
t1402	0.06	0.07	0.07	0.07	0.09	0.08	0.09	0.15	0.18	0.16	0.14
t1403	0.13	0.12	0.13	0.15	0.14	0.12	0.11	0.10	0.08	0.06	0.05
t1404	0.04	0.03	0.03	0.02	0.01	0.01	0.01	0.01	0.01	0.02	0.02
t1405	0.03	0.04	0.04	0.04	0.05	0.06	0.06	0.06	0.06	0.05	0.08
t1406	0.08	0.08	0.08	0.10	0.11	0.12	0.12	0.11	0.10	0.08	0.10
t1407	0.15	0.16	0.16	0.18	0.18	0.18	0.17	0.15	0.12	0.11	0.12
t1408	0.13	0.14	0.11	0.10	0.10	0.08	0.08	0.08	0.08	0.08	0.06
t1409	0.05	0.06	0.04	0.03	0.03	0.04	0.04	0.06	0.10	0.15	0.21
t1410	0.24	0.26	0.25	0.24	0.22	0.22	0.21	0.23	0.28	0.32	0.34
t1411	0.34	0.32	0.24	0.20	0.16	0.14	0.15	0.17	0.17	0.20	0.23
t1412	0.25	0.24	0.19	0.16	0.14	0.16	0.21	0.25	0.25	0.28	0.32
t1413	0.35	0.38	0.39	0.38	0.30	0.29	0.28	0.30	0.33	0.36	0.42
t1414	0.46	0.47	0.49	0.48	0.45	0.42	0.40	0.38	0.40	0.42	0.41
t1415	0.40	0.37	0.36	0.35	0.35	0.33	0.39	0.40	0.50	0.52	0.49
t1416	0.46	0.41	0.45	0.39	0.39	0.40	0.44	0.46	0.49	0.49	0.45
t1417	0.40	0.36	0.32	0.27	0.22	0.20	0.18	0.18	0.16	0.14	0.09
t1418	0.07	0.06	0.05	0.05	0.06	0.07	0.09	0.11	0.12	0.11	0.10
t1419	0.10	0.09	0.08	0.08	0.09	0.10	0.12	0.13	0.14	0.13	0.10
t1420	0.09	0.11	0.14	0.16	0.17	0.18	0.19	0.22	0.25	0.28	0.29
t1421	0.29	0.31	0.30	0.34	0.38	0.42	0.47	0.50	0.52	0.52	0.51
t1422	0.48	0.45	0.39	0.39	0.39	0.37	0.36	0.29	0.34	0.39	0.43
t1423	0.44	0.46	0.45	0.42	0.43	0.42	0.41	0.41	0.43	0.45	0.47
t1424	0.51	0.54	0.58	0.54	0.49	0.48	0.46	0.43	0.39	0.36	0.35
t1425	0.37	0.39	0.39	0.37	0.35	0.33	0.32	0.29	0.26	0.23	0.20
t1426	0.21	0.24	0.25	0.26	0.26	0.21	0.18	0.15	0.11	0.10	0.13
t1427	0.17	0.24	0.30	0.33	0.33	0.31	0.28	0.26	0.25	0.25	0.23
t1428	0.22	0.22	0.24	0.26	0.26	0.26	0.26	0.17	0.14	0.11	0.10
t1429	0.08	0.08	0.10	0.14	0.17	0.19	0.20	0.18	0.15	0.12	0.12
t1430	0.10	0.09	0.07	0.06	0.05	0.04	0.03	0.03	0.03	0.03	0.02
t1431	0.02	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.03	0.04
t1432	0.05	0.06	0.06	0.06	0.06	0.07	0.07	0.07	0.06	0.05	0.05
t1433	0.05	0.05	0.06	0.07	0.09	0.08	0.08	0.08	0.10	0.10	0.11
t1434	0.12	0.13	0.14	0.18	0.19	0.20	0.20	0.21	0.27	0.30	0.33
t1435	0.32	0.30	0.28	0.30	0.34	0.38	0.33	0.28	0.24	0.23	0.20
t1436	0.17	0.14	0.14	0.13	0.12	0.13	0.11	0.12	0.17	0.21	0.28
